Frequent Itemsets (by size k)
{280}: Support Count = 2108
{283}: Support Count = 4082
{285}: Support Count = 2600
{290}: Support Count = 1793
{294}: Support Count = 1445
{296}: Support Count = 2210
{304}: Support Count = 805
{308}: Support Count = 1402
{309}: Support Count = 1262
{31}: Support Count = 1666
{310}: Support Count = 1390
{314}: Support Count = 846
{318}: Support Count = 812
{319}: Support Count = 1371
{32}: Support Count = 4248
{322}: Support Count = 1154
{325}: Support Count = 1022
{326}: Support Count = 1488
{329}: Support Count = 964
{33}: Support Count = 1460
{332}: Support Count = 1861
{334}: Support Count = 2146
{335}: Support Count = 1345
{336}: Support Count = 1071
{343}: Support Count = 1599
{345}: Support Count = 801
{346}: Support Count = 3470
{347}: Support Count = 885
{348}: Support Count = 1226
{349}: Support Count = 2041
{35}: Support Count = 1984
{350}: Support Count = 3069
{351}: Support Count = 1641
{352}: Support Count = 902
{354}: Support Count = 5835
{355}: Support Count = 958
{357}: Support Count = 1142
{361}: Support Count = 1104
{362}: Support Count = 4388
{366}: Support Count = 1031
{368}: Support Count = 7828
{37}: Support Count = 1249
{373}: Support Count = 2007
{377}: Support Count = 1149
{378}: Support Count = 1149
{38}: Support Count = 2402
{381}: Support Count = 2959
{385}: Support Count = 1676
{387}: Support Count = 2089
{388}: Support Count = 938
{39}: Support Count = 4258
{390}: Support Count = 2685
{392}: Support Count = 2420
{394}: Support Count = 1145
{395}: Support Count = 990
{4}: Support Count = 1394
{401}: Support Count = 3667
{403}: Support Count = 1722
{405}: Support Count = 1525
{41}: Support Count = 1353
{411}: Support Count = 2047
{413}: Support Count = 2637
{414}: Support Count = 1160
{415}: Support Count = 877
{417}: Support Count = 971
{419}: Support Count = 5057
{422}: Support Count = 1255
{423}: Support Count = 1412
{424}: Support Count = 1448
{427}: Support Count = 1856
{428}: Support Count = 1021
{429}: Support Count = 1037
{43}: Support Count = 1721
{432}: Support Count = 985
{438}: Support Count = 4511
{44}: Support Count = 903
{440}: Support Count = 1943
{447}: Support Count = 863
{448}: Support Count = 1370
{449}: Support Count = 1890
{45}: Support Count = 1728
{450}: Support Count = 2082
{456}: Support Count = 804
{458}: Support Count = 1124
{460}: Support Count = 4438
{461}: Support Count = 1498
{464}: Support Count = 848
{468}: Support Count = 1089
{469}: Support Count = 1502
{470}: Support Count = 4137
{471}: Support Count = 2894
{472}: Support Count = 2125
{474}: Support Count = 815
{477}: Support Count = 2462
{48}: Support Count = 2472
{480}: Support Count = 2309
{481}: Support Count = 888
{484}: Support Count = 971
{486}: Support Count = 1547
{487}: Support Count = 3135
{489}: Support Count = 3420
{490}: Support Count = 1066
{494}: Support Count = 5102
{496}: Support Count = 1428
{5}: Support Count = 1094
{500}: Support Count = 1444
{504}: Support Count = 1296
{507}: Support Count = 950
{509}: Support Count = 3044
{51}: Support Count = 1612
{510}: Support Count = 3281
{511}: Support Count = 1015
{513}: Support Count = 1287
{515}: Support Count = 1166
{516}: Support Count = 1544
{517}: Support Count = 1201
{52}: Support Count = 1983
{521}: Support Count = 1582
{522}: Support Count = 2725
{523}: Support Count = 2244
{526}: Support Count = 2793
{527}: Support Count = 1185
{529}: Support Count = 7057
{530}: Support Count = 1263
{534}: Support Count = 1531
{538}: Support Count = 3982
{54}: Support Count = 2595
{540}: Support Count = 1293
{541}: Support Count = 3735
{546}: Support Count = 1050
{548}: Support Count = 2843
{55}: Support Count = 1959
{550}: Support Count = 1203
{554}: Support Count = 1114
{558}: Support Count = 957
{561}: Support Count = 2783
{563}: Support Count = 1065
{567}: Support Count = 1102
{568}: Support Count = 956
{569}: Support Count = 2835
{57}: Support Count = 2743
{571}: Support Count = 2902
{572}: Support Count = 1589
{573}: Support Count = 1229
{574}: Support Count = 1297
{576}: Support Count = 1337
{577}: Support Count = 1695
{578}: Support Count = 1290
{579}: Support Count = 2164
{58}: Support Count = 1330
{580}: Support Count = 1667
{581}: Support Count = 2943
{583}: Support Count = 1389
{585}: Support Count = 856
{590}: Support Count = 814
{591}: Support Count = 1241
{593}: Support Count = 2601
{594}: Support Count = 1516
{597}: Support Count = 2883
{598}: Support Count = 3219
{6}: Support Count = 2149
{600}: Support Count = 1192
{605}: Support Count = 1652
{606}: Support Count = 2668
{608}: Support Count = 999
{611}: Support Count = 1444
{614}: Support Count = 3134
{617}: Support Count = 2614
{618}: Support Count = 1337
{620}: Support Count = 2100
{622}: Support Count = 826
{623}: Support Count = 1845
{624}: Support Count = 915
{626}: Support Count = 874
{628}: Support Count = 1102
{629}: Support Count = 893
{630}: Support Count = 1523
{631}: Support Count = 2793
{632}: Support Count = 1070
{634}: Support Count = 2492
{638}: Support Count = 2288
{639}: Support Count = 1572
{640}: Support Count = 932
{641}: Support Count = 1494
{642}: Support Count = 830
{649}: Support Count = 1292
{651}: Support Count = 1288
{653}: Support Count = 2634
{658}: Support Count = 1881
{659}: Support Count = 835
{66}: Support Count = 888
{661}: Support Count = 2693
{663}: Support Count = 2354
{665}: Support Count = 1297
{673}: Support Count = 1635
{674}: Support Count = 2527
{675}: Support Count = 2976
{676}: Support Count = 2717
{678}: Support Count = 1329
{68}: Support Count = 1601
{682}: Support Count = 4132
{684}: Support Count = 5408
{686}: Support Count = 1495
{687}: Support Count = 1762
{688}: Support Count = 1132
{689}: Support Count = 817
{69}: Support Count = 2370
{692}: Support Count = 4993
{694}: Support Count = 2847
{7}: Support Count = 997
{70}: Support Count = 2411
{701}: Support Count = 1283
{704}: Support Count = 1794
{705}: Support Count = 888
{706}: Support Count = 1923
{707}: Support Count = 1354
{708}: Support Count = 1090
{71}: Support Count = 3507
{710}: Support Count = 1044
{712}: Support Count = 845
{716}: Support Count = 1199
{718}: Support Count = 1238
{72}: Support Count = 2852
{720}: Support Count = 3864
{722}: Support Count = 5845
{723}: Support Count = 829
{73}: Support Count = 2179
{733}: Support Count = 1141
{735}: Support Count = 1689
{736}: Support Count = 1470
{738}: Support Count = 2129
{740}: Support Count = 1632
{742}: Support Count = 953
{744}: Support Count = 2177
{745}: Support Count = 909
{746}: Support Count = 1982
{749}: Support Count = 1330
{75}: Support Count = 3151
{752}: Support Count = 2578
{758}: Support Count = 2860
{763}: Support Count = 1862
{765}: Support Count = 1705
{766}: Support Count = 6265
{769}: Support Count = 1622
{774}: Support Count = 2046
{775}: Support Count = 3771
{778}: Support Count = 2514
{78}: Support Count = 2471
{780}: Support Count = 2306
{782}: Support Count = 2767
{784}: Support Count = 1257
{785}: Support Count = 947
{788}: Support Count = 2386
{789}: Support Count = 4309
{790}: Support Count = 1094
{792}: Support Count = 1306
{793}: Support Count = 3063
{795}: Support Count = 3361
{797}: Support Count = 2684
{798}: Support Count = 3103
{8}: Support Count = 3090
{80}: Support Count = 826
{800}: Support Count = 1916
{801}: Support Count = 835
{803}: Support Count = 2237
{804}: Support Count = 1315
{805}: Support Count = 1789
{809}: Support Count = 2163
{810}: Support Count = 1267
{812}: Support Count = 1518
{814}: Support Count = 1672
{815}: Support Count = 1358
{819}: Support Count = 1257
{820}: Support Count = 1473
{823}: Support Count = 1031
{825}: Support Count = 3085
{826}: Support Count = 2022
{829}: Support Count = 6810
{830}: Support Count = 841
{831}: Support Count = 852
{832}: Support Count = 2062
{834}: Support Count = 1373
{838}: Support Count = 953
{839}: Support Count = 854
{841}: Support Count = 1927
{843}: Support Count = 1222
{844}: Support Count = 2814
{846}: Support Count = 1480
{85}: Support Count = 1555
{853}: Support Count = 1804
{854}: Support Count = 2847
{855}: Support Count = 939
{857}: Support Count = 1588
{858}: Support Count = 866
{859}: Support Count = 1242
{860}: Support Count = 1255
{862}: Support Count = 3649
{867}: Support Count = 1530
{871}: Support Count = 2810
{874}: Support Count = 2237
{878}: Support Count = 2047
{879}: Support Count = 865
{883}: Support Count = 4902
{884}: Support Count = 1645
{885}: Support Count = 3043
{886}: Support Count = 3053
{887}: Support Count = 1671
{888}: Support Count = 3686
{890}: Support Count = 1437
{893}: Support Count = 1947
{895}: Support Count = 3385
{897}: Support Count = 1935
{899}: Support Count = 1252
{90}: Support Count = 1875
{900}: Support Count = 1165
{906}: Support Count = 1444
{910}: Support Count = 1695
{912}: Support Count = 1009
{913}: Support Count = 1939
{914}: Support Count = 4037
{918}: Support Count = 3012
{919}: Support Count = 3710
{921}: Support Count = 2425
{922}: Support Count = 990
{923}: Support Count = 1753
{928}: Support Count = 1034
{93}: Support Count = 2777
{932}: Support Count = 1786
{935}: Support Count = 1742
{937}: Support Count = 4681
{94}: Support Count = 1201
{941}: Support Count = 1126
{943}: Support Count = 821
{944}: Support Count = 2794
{946}: Support Count = 1350
{947}: Support Count = 3690
{948}: Support Count = 1149
{949}: Support Count = 1414
{95}: Support Count = 841
{950}: Support Count = 1463
{952}: Support Count = 1574
{956}: Support Count = 3626
{96}: Support Count = 975
{960}: Support Count = 2732
{963}: Support Count = 1327
{964}: Support Count = 1518
{966}: Support Count = 3921
{967}: Support Count = 1695
{969}: Support Count = 849
{97}: Support Count = 1466
{970}: Support Count = 2086
{975}: Support Count = 1764
{978}: Support Count = 1141
{980}: Support Count = 899
{981}: Support Count = 1542
{982}: Support Count = 1640
{984}: Support Count = 1756
{988}: Support Count = 1164
{989}: Support Count = 1289
{991}: Support Count = 1268
{992}: Support Count = 1116
{995}: Support Count = 1521
{998}: Support Count = 2713

--- k = 2 ---
{208, 290}: Support Count = 803
{208, 888}: Support Count = 829
{208, 969}: Support Count = 806
{217, 283}: Support Count = 926
{217, 33}: Support Count = 852
{217, 346}: Support Count = 1336
{217, 515}: Support Count = 843
{227, 390}: Support Count = 1049
{227, 722}: Support Count = 995
{283, 33}: Support Count = 845
{283, 346}: Support Count = 910
{283, 515}: Support Count = 835
{290, 888}: Support Count = 826
{33, 346}: Support Count = 844
{33, 515}: Support Count = 824
{346, 515}: Support Count = 849
{368, 494}: Support Count = 860
{368, 682}: Support Count = 1193
{368, 692}: Support Count = 928
{368, 829}: Support Count = 1194
{39, 704}: Support Count = 1107
{39, 825}: Support Count = 1187
{390, 722}: Support Count = 1042
{392, 489}: Support Count = 866
{392, 862}: Support Count = 881
{411, 803}: Support Count = 826
{438, 684}: Support Count = 825
{471, 678}: Support Count = 810
{471, 960}: Support Count = 935
{529, 598}: Support Count = 943
{529, 782}: Support Count = 862
{541, 72}: Support Count = 846
{571, 795}: Support Count = 838
{598, 782}: Support Count = 800
{623, 795}: Support Count = 805
{675, 886}: Support Count = 823
{684, 70}: Support Count = 860
{684, 765}: Support Count = 812
{684, 819}: Support Count = 800
{704, 825}: Support Count = 1102
{789, 829}: Support Count = 1194
{795, 853}: Support Count = 806
{888, 969}: Support Count = 810
{923, 947}: Support Count = 859

--- k = 3 ---
{217, 283, 346}: Support Count = 827
{217, 33, 346}: Support Count = 802
{217, 346, 515}: Support Count = 809
{227, 390, 722}: Support Count = 907
{283, 33, 346}: Support Count = 802
{283, 346, 515}: Support Count = 806
{39, 704, 825}: Support Count = 1035

=====================================

=== Association Rules ===

Total rules generated (Confidence >= 0.5): 45

{704} -> {39}
{704} -> {825}
{227} -> {390}
{208} -> {969}
{969} -> {208}
{208} -> {888}
{208} -> {290}
{969} -> {888}
{678} -> {471}
{33} -> {283}
{33} -> {346}
{515} -> {217}
{33} -> {515}
{515} -> {33}
{33} -> {217}
{515} -> {283}
{515} -> {346}
{819} -> {684}
{227} -> {722}
{704} -> {39, 825}
{39, 704} -> {825}
{39, 825} -> {704}
{704, 825} -> {39}
{33} -> {283, 346}
{283, 33} -> {346}
{283, 346} -> {33}
{33, 346} -> {283}
{515} -> {217, 346}
{217, 346} -> {515}
{217, 515} -> {346}
{346, 515} -> {217}
{217, 283} -> {346}
{217, 346} -> {283}
{283, 346} -> {217}
{33} -> {217, 346}
{217, 33} -> {346}
{217, 346} -> {33}
{33, 346} -> {217}
{515} -> {283, 346}
{283, 346} -> {515}
{283, 515} -> {346}
{346, 515} -> {283}
{227, 390} -> {722}
{227, 722} -> {390}
{390, 722} -> {227}

=========================
